ra,dec,ug,gi,iK,JK,logP,Ampl,skew,kurt,magMed,nObs,LCtype,LINEARobjectID
168.652374,168,1096,151,-0.4107711,537,-450,-472,16.32,100,2,851716,
168.424408,20.809628,1166,346,1122,302,-0.2035297,471,-132,-476,16.55,294,1,856862,
168.143600,21.637032,1161,316,1021,199,-0.1967539,350,-316,-661,15.96,322,1,869112,
169.520172,22.499134,1214,92,1011,396,-0.2602315,814,-265,-1086,16.67,282,1,872620,
169.144638,24.187469,1082,309,1146,69,-0.2018495,672,-536,-867,15.76,200,1,880568,
169.278519,23.970745,1102,301,1366,387,-0.2217459,861,-818,174,16.83,295,1,880588,
169.215576,24.296745,1070,355,1294,525,-0.1393536,425,-57,-561,16.35,302,1,883073,
168.048035,23.427229,1198,272,1149,453,-0.2361633,763,-416,-495,16.95,291,1,885361,
168.401672,27.650881,1169,339,1647,694,-0.1816718,466,-267,-745,16.72,297,1,895953,
169.230225,28.559521,1226,308,1018,170,-0.2295442,586,-274,-1219,14.98,285,1,899832,
169.367844,29.675055,166,882,1729,276,-0.2877486,626,-930,185,14.29,289,1,912581,
169.431274,1135,302,1278,342,-0.2945597,822,-429,-483,15.99,418,1,924301,
169.455963,33.670769,1127,201,1225,327,-0.2391186,1001,-751,-619,14.09,286,1,940906,
168.130676,39.812428,1147,161,1128,538,-0.2862752,891,-1167,385,16.30,330,1,966279,
168.248001,42.811531,1134,336,1028,196,-0.1915642,857,-364,-579,16.60,227,1,967924,
169.951187,41.630974,1162,342,1228,336,-0.2370688,731,-41,-1161,16.24,235,1,968962,
169.237518,42.088608,1134,364,1361,410,-0.1601080,631,-537,-490,16.02,220,1,969277,
169.034073,41.048706,1184,336,1189,245,-0.2275126,556,-52,-772,16.19,275,1,970326,
169.177338,44.117550,1183,10,822,204,-0.2071414,479,-121,-1066,15.19,236,1,976746,
169.439743,47.355183,1219,-77,670,-11,-0.4999997,351,-379,-267,16.08,283,2,989567,
169.436066,47.753120,1190,25,755,166,-0.4593227,411,182,-774,15.62,131,2,991055,
168.498428,49.102016,1125,387,1160,240,-0.0998056,323,490,1070,16.10,205,1,993105,
169.044342,1208,137,1185,633,-0.1815141,643,-309,-608,16.59,564,1,999528,
169.297485,1182,317,1199,456,-0.3386948,1021,-740,-383,16.57,607,1,1004849,
169.713531,1192,243,965,164,-0.1846879,584,-255,-560,16.05,607,1,1005497,
168.682144,52.188137,642,330,1037,267,-0.2697517,624,-604,-676,14.89,255,1,1010992,
168.211075,51.534416,1127,245,1056,344,-0.2970786,901,-529,-375,16.66,228,1,1013889,
169.357468,57.331566,1233,-90,853,276,-0.4851495,327,-223,348,16.14,140,2,1032186,
169.489120,59.391106,1187,353,1106,312,-0.2073793,405,-743,484,15.37,167,1,1034627,
169.255936,67.637978,1211,-74,629,207,-0.5199758,415,234,-1272,15.02,220,2,1049602,
169.462662,1172,121,790,130,-0.4808535,357,1421,7635,15.23,558,2,1051321,
169.132523,1138,295,1554,718,-0.1992225,440,244,-339,16.86,552,1,1051858,
169.776321,1180,372,1357,531,-0.1986978,453,89,-526,16.50,607,1,1058132,
168.678024,1181,188,1277,374,-0.3339399,1054,-768,-654,16.77,549,1,1059786,
168.968567,10.857431,1202,-57,992,595,-0.4541315,524,-290,-566,16.20,548,2,1080552,
170.805527,1144,308,1367,367,-0.1874261,770,-505,-798,16.62,590,1,1092244,
171.236816,1116,312,1350,421,-0.2065267,707,-627,-591,15.32,559,1,1102647,
171.487411,-0.161590,1175,354,1007,273,-0.1497190,528,-180,-852,14.45,424,1,1107333,
171.774719,12.774167,1161,248,1327,298,-0.2807119,739,-685,-339,16.04,345,1,1111522,
171.362244,12.097942,1181,276,995,54,-0.3072130,954,-896,-84,16.83,541,1,1112498,
170.358612,12.579955,1106,192,1143,346,-0.4131438,513,-124,-728,15.70,384,2,1113422,
170.801926,11.012345,1228,38,807,89,-0.2423095,615,-485,-1195,14.66,510,1,1117792,
170.382339,-9.381232,1207,54,738,9,-0.4790843,432,-57,-717,16.52,169,2,1124773,
170.750809,-9.618495,1144,274,1209,569,-0.2076797,494,168,-978,15.68,184,1,1127427,
171.923477,-192,1105,817,-0.5039731,635,163,-525,16.84,144,2,1128811,
171.255646,337,1126,233,-0.1935853,735,-611,-885,14.19,101,1,1129060,
171.309937,226,999,85,-0.3303373,880,-555,-615,15.74,151,1,1130401,
170.024094,278,1167,425,-0.2544240,847,-620,-894,15.77,144,1,1132871,
170.331818,13.632204,1191,120,953,164,-0.2700363,752,-562,-728,16.18,310,1,1145534,
171.069412,18,825,368,-0.2842824,618,-1295,2761,14.91,153,1,1148376,
170.642776,31,716,-69,-0.3108253,942,-1069,-159,16.16,145,1,1152390,
171.249115,16.218948,1201,165,1077,409,-0.1891863,371,2601,8532,15.28,120,1,1159364,
171.683823,17.853210,1095,95,1009,349,-0.3840668,337,31,-1102,14.58,305,2,1169665,
171.143555,20.818182,1157,320,1432,439,-0.1614720,493,-175,-1216,16.02,254,1,1179977,
170.555161,22.687811,1211,-43,930,219,-0.4661098,285,30,-1524,14.85,261,2,1197898,
171.392624,25.652969,1181,-53,715,37,-0.5459666,502,-53,-1194,16.17,277,2,1210627,
171.898666,26.603380,1122,345,1290,461,-0.2000422,702,-279,-968,16.07,297,1,1212611,
171.968033,27.197588,1139,281,1458,359,-0.2098951,480,-530,-795,14.08,257,1,1226099,
170.448395,1179,381,1278,393,-0.1989134,371,2090,13256,14.74,468,1,1240665,
171.706451,1182,58,836,240,-0.3680806,335,770,192,15.26,626,2,1241164,
171.606598,1180,276,1069,142,-0.2701277,726,-682,-244,16.33,469,1,1244554,
171.429184,-2.402048,1146,350,1225,215,-0.2474599,728,-909,-296,15.91,417,1,1249142,
171.185150,34.195477,1190,326,1281,329,-0.2342651,613,-498,-422,15.98,293,1,1265213,
171.557617,34.067039,1175,337,1459,840,-0.2477564,705,-663,347,16.77,280,1,1271119,
171.933319,36.328339,1113,202,1007,102,-0.4175775,455,-119,-1200,16.00,324,2,1273940,
170.707047,44.755936,1119,-193,1063,47,-0.5466526,368,-198,-1251,14.52,252,2,1305630,
170.308594,44.237854,1169,272,1315,385,-0.2777998,633,-109,305,16.01,262,1,1307948,
170.664581,45.890060,1222,262,1081,344,-0.2201540,312,255,-726,14.55,220,1,1310262,
170.895493,47.670719,1194,241,977,116,-0.2819370,972,-339,-465,16.97,268,1,1317052,
170.684616,1206,118,933,337,-0.2360385,578,-585,-613,15.67,260,1,1332201,
170.111084,51.537971,1187,349,1315,185,-0.1811495,614,514,825,16.60,187,1,1348385,
170.901611,62.635674,1120,381,1189,294,-0.2297513,894,1347,4873,16.36,181,1,1372405,
171.391602,63.215458,1168,61,914,141,-0.5042711,363,-465,-831,15.33,189,2,1374889,
170.800018,1155,244,1098,36,-0.2824377,967,-509,-434,16.56,524,1,1390653,
170.678375,1199,-62,792,247,-0.4790464,357,722,735,15.21,499,2,1391917,
170.162598,73.729156,1256,-184,484,274,-0.2741644,699,-831,410,14.93,149,1,1399089,
171.049957,75.158287,1106,405,1200,377,-0.2718679,998,20,-1224,16.42,194,1,1403290,
170.084152,-8.818089,1188,-20,697,257,-0.2543531,765,-631,-479,16.70,173,1,1426563,
171.008118,-8.858228,1164,-310,1136,212,-0.4142742,376,135,-593,14.47,183,2,1427812,
172.051422,1113,325,1125,391,-0.2907810,927,-333,-1222,16.16,528,1,1434107,
172.311539,1095,209,1046,418,-0.4180970,502,-332,-619,15.78,545,2,1435279,
172.693146,1164,107,1057,396,-0.4678191,364,257,-397,15.76,574,2,1440217,
173.844803,-0.895189,1189,278,1373,313,-0.2168757,770,-465,-786,15.55,435,1,1448299,
173.129395,11.340947,1166,292,918,6,-0.2878168,777,221,2589,15.41,498,1,1457871,
172.179993,12.476124,1198,185,770,199,-0.2932822,863,-787,-615,15.75,405,1,1462162,
173.287811,12.635736,1206,-49,739,347,-0.4877760,373,-57,-1081,16.44,256,2,1468233,
172.342377,-9.592246,1230,-334,701,211,-0.3045472,933,-656,-615,14.64,192,1,1469499,
173.576660,13.388298,1226,-132,784,422,-0.1511209,641,-142,-690,16.08,308,1,1478037,
172.082275,13.855763,1277,-185,632,225,-0.5271251,389,-250,-1186,16.19,340,2,1482761,
172.141922,15.533037,1148,243,1089,256,-0.2706336,843,-377,-741,16.69,323,1,1491155,
172.060410,15.913183,1157,-27,1015,226,-0.4497912,424,47,-1233,15.94,293,2,1491775,
172.614075,15.619328,1168,199,767,48,-0.3192485,899,-454,-885,16.36,331,1,1491942,
172.822678,16.665663,1118,132,1335,434,-0.4477528,575,-375,-587,16.53,339,2,1492054,
172.951340,16.947945,1082,356,1022,205,-0.2022680,672,-694,-538,15.56,339,1,1492129,
173.891876,17.838152,1179,353,1401,268,-0.1944257,798,141,-1225,16.28,242,1,1499034,
173.778717,20.962376,1177,273,1216,305,-0.3274948,1014,-671,-675,16.24,141,1,1508774,
173.056198,22.822311,1108,215,1105,359,-0.3889898,381,-23,-1197,16.17,310,2,1520272,
172.794327,25.620790,1132,199,1064,156,-0.3007895,769,-584,-574,15.80,410,1,1539000,
172.288788,27.743820,1224,-69,783,224,-0.4708958,377,-29,-1209,15.27,295,2,1551619,
172.179428,28.322762,1258,-155,822,334,-0.5466832,366,6099,44462,15.82,273,2,1553288,
173.604248,30.201559,1300,-233,507,8,-0.5643801,420,51,-1196,15.82,316,2,1559109,
172.082779,-2.801378,1226,-171,655,260,-0.5876806,349,-3,-931,14.33,405,2,1582405,
172.957169,-2.240579,1035,160,1141,248,-0.1699280,831,-974,89,15.60,426,1,1584721,
173.523178,-2.346095,1121,138,904,247,-0.3904867,416,-104,-1405,15.27,432,2,1585633,
172.391541,31.228901,1215,241,764,-78,-0.2272186,506,1059,8616,16.75,264,1,1593736,
173.189423,34.341866,1230,-80,1257,515,-0.5322750,378,809,2520,16.40,311,2,1602363,
173.097565,38.533611,1131,328,1178,-21,-0.3114111,939,-421,-929,15.96,334,1,1615764,
171.998871,38.206387,1264,101,1216,572,-0.2158965,585,-1062,92,14.68,323,1,1619501,
172.190369,39.376274,1166,-31,743,161,-0.3807355,422,240,-358,16.42,307,2,1626282,
172.716293,39.352745,1167,326,1267,482,-0.2329065,746,-499,-493,16.19,317,1,1627564,
173.989868,41.226318,1186,356,991,273,-0.2214595,555,-99,-368,15.35,273,1,1634230,
172.418854,42.740177,1148,269,1165,283,-0.3195620,924,-465,-944,15.35,230,1,1634758,
172.257767,43.879875,1154,321,1307,369,-0.1774397,637,-188,-708,15.55,157,1,1637658,
173.868713,45.324966,1191,259,820,-41,-0.2140228,670,188,-295,16.92,256,1,1648028,
173.132782,45.567238,1160,327,1294,576,-0.2284853,665,104,-94,16.59,196,1,1650268,
173.831543,49.233284,1188,-22,743,148,-0.5582718,365,125,-758,14.95,188,2,1656568,
172.807510,-4.066454,1213,-46,860,283,-0.1653352,632,-211,-1086,15.68,441,1,1679845,
173.939346,-4.924541,1081,298,1222,401,-0.2825093,761,-928,-189,16.24,420,1,1684856,
173.391785,-3.590227,1161,371,1233,306,-0.1232149,407,349,-402,15.88,368,1,1685980,
172.689133,52.462601,1063,337,1471,376,-0.1431195,439,3,-1097,15.09,263,1,1691490,
173.651031,60.305698,1034,390,1276,256,-0.2211356,472,-779,105,14.55,182,1,1710162,
173.630661,64.565765,1166,-22,712,135,-0.5352691,475,-86,-1113,16.53,231,2,1720538,
173.512039,1083,-279,1414,355,-0.1921836,392,-461,-916,14.78,542,1,1728470,
172.210449,1207,211,1049,272,-0.2550431,647,-542,-585,15.86,372,1,1736308,
173.812637,-5.544868,1299,-135,575,188,-0.4959480,415,999,3902,15.88,226,2,1746311,
173.434341,-5.102598,1225,-97,865,366,-0.5083078,416,250,-308,15.93,463,2,1748058,
173.633789,-5.642401,1194,-197,657,211,-0.5185731,481,-70,-1258,14.56,409,2,1748794,
172.079468,-5.473282,1231,-187,879,326,-0.5382810,564,16,-3,16.59,167,2,1749054,
172.296799,1200,-1094,2048,250,-0.2635620,761,-925,217,14.05,519,1,1769795,
172.758286,-7.033083,1132,228,862,27,-0.2844780,817,-597,-283,16.47,236,1,1774383,
172.414795,-7.778874,1047,311,1352,515,-0.2318083,723,-437,37,16.70,240,1,1780485,
174.689011,1156,313,1230,396,-0.2285411,664,-447,-869,15.74,520,1,1784750,
175.728760,1191,156,1030,345,-0.1898535,513,245,-1119,14.65,504,1,1787086,
174.797211,1144,245,1004,441,-0.2427543,706,-716,443,16.74,521,1,1788821,
175.664520,1178,255,1290,551,-0.2720531,797,-892,225,15.64,509,1,1790596,
174.358734,1215,276,1442,513,-0.3011985,896,-892,260,16.75,553,1,1804606,
174.045258,11.910814,1134,231,1230,219,-0.2140817,469,-49,-1009,16.68,372,1,1817613,
175.817307,12.545665,1176,301,1218,615,-0.3053974,1009,-755,-402,16.88,304,1,1818091,
175.555054,13.385670,1157,151,861,120,-0.2715074,875,-574,-597,16.86,316,1,1828651,
175.590942,15.467942,1125,153,1255,426,-0.4627200,463,8,-674,16.75,320,2,1838988,
175.324722,17.477432,1168,248,1276,422,-0.3420067,996,-460,-856,16.33,294,1,1852714,
175.755051,19.051371,1169,276,924,169,-0.2468530,546,-669,-441,14.73,280,1,1857382,
174.650253,20.726227,1204,-210,763,210,-0.1968011,882,-290,-723,16.68,250,1,1863652,
175.805893,21.136133,1121,271,1040,143,-0.2215202,882,-762,-622,15.53,267,1,1871916,
174.614151,23.736048,1116,231,973,221,-0.1191150,378,-305,-701,15.99,301,1,1876491,
174.567200,23.566439,1174,75,1031,208,-0.5003349,434,52,-1046,14.89,303,2,1882088,
175.683731,24.106068,1159,192,1139,316,-0.1579733,724,-95,-713,16.19,313,1,1882354,
175.642807,26.448772,1252,-72,572,-104,-0.1756020,683,90,-732,16.56,273,1,1885158,
175.543167,25.665697,1153,154,1049,325,-0.1862296,772,-544,-283,16.54,269,1,1890167,
175.526489,1169,216,1463,842,-0.1996225,313,-143,-473,16.63,548,1,1913043,
175.499115,1192,89,1109,293,-0.5089844,451,-157,-853,15.53,596,2,1915212,
175.957916,1281,-173,728,366,-0.5638405,331,-130,-1281,15.43,567,2,1918275,
174.221100,-2.774764,1189,-55,1037,368,-0.5731424,428,93,-250,16.76,398,2,1925869,
174.908920,-2.978814,1190,305,1287,283,-0.2476488,558,-824,202,14.60,305,1,1931336,
174.082565,-2.636356,1228,27,760,222,-0.2351875,475,-484,-557,14.12,336,1,1932600,
174.165817,-1.421283,1169,202,1098,551,-0.1875914,474,90,-916,16.67,431,1,1936459,
175.961838,33.353790,1134,335,1231,393,-0.2453803,746,-557,-437,15.44,236,1,1950085,
175.922867,-3.059355,1181,266,888,326,-0.2156845,749,-845,-299,15.78,438,1,2023155,
174.652908,-3.871634,1129,343,1524,672,-0.1888306,762,36,-585,16.86,311,1,2029707,
175.265778,52.399082,1230,-44,924,155,-0.4747854,383,10,-976,14.38,233,2,2037512,
174.510254,53.229332,1117,312,1452,314,-0.1846275,613,-567,-300,16.57,276,1,2041979,
175.156052,53.989586,1210,183,900,112,-0.2716852,871,-293,-868,16.86,253,1,2044369,
174.991837,55.013454,1076,270,1163,388,-0.1633930,735,-952,-204,14.85,190,1,2050107,
175.245224,1134,249,1191,214,-0.3207511,669,-801,-169,16.14,519,1,2075949,
174.118637,1198,306,1147,387,-0.2093933,454,-229,-968,16.17,459,1,2079147,
175.309799,75.706177,1143,204,1183,388,-0.3251040,603,-92,559,16.39,161,1,2095091,
174.712372,75.527725,1206,-6,731,226,-0.2758642,723,-895,-25,14.61,189,1,2095105,
175.629074,1238,-196,660,131,-0.5319645,513,23,-1206,16.24,505,2,2099155,
175.250717,1177,202,1268,831,-0.2280254,785,-74,-88,16.74,240,1,2101707,
175.564804,10.640461,1049,163,1226,129,-0.4472819,389,-82,-1120,14.42,517,2,2104306,
176.177933,1189,295,1104,323,-0.2282341,629,-776,-246,15.56,527,1,2117028,
176.004593,1186,53,869,327,-0.2329711,445,-872,-173,14.80,271,1,2119778,
176.834091,1206,58,917,225,-0.4443965,485,-425,-529,15.88,519,2,2122319,
177.808304,1178,334,1174,307,-0.2172981,501,-504,-881,15.86,542,1,2125638,
176.029739,11.543575,1177,254,1040,397,-0.2481545,703,-1118,510,15.70,349,1,2145400,
177.867767,11.940934,1267,-216,609,54,-0.5650049,452,-95,-1281,16.14,339,2,2148637,
176.919708,14.337818,1184,332,1042,194,-0.1751169,422,-842,409,16.00,72,1,2154980,
176.928711,18.478888,1170,344,1217,350,-0.1916850,526,819,681,16.56,139,1,2174367,
177.858643,18.544559,1153,135,906,102,-0.5005164,411,-81,-1228,16.09,134,2,2177764,
176.845123,21.044695,1225,-68,547,78,-0.5337791,539,252,-489,16.77,265,2,2196029,
177.293259,21.614817,1209,187,1102,354,-0.2009263,537,-57,-905,16.12,260,1,2197514,
177.312042,24.166698,1216,124,796,326,-0.2591859,312,452,-513,14.42,269,1,2201336,
176.648834,23.128586,1135,147,972,237,-0.4051226,376,-105,-1164,15.63,294,2,2202528,
176.771942,24.685509,1165,59,717,486,-0.3065175,1045,-791,-352,16.81,281,1,2204856,
176.981461,23.019934,1155,240,1031,327,-0.2950212,1016,-586,-712,16.93,325,1,2209936,
177.734146,28.921621,1196,-20,862,207,-0.5413682,528,306,-374,16.21,280,2,2223492,
176.610779,28.782040,1126,357,1245,325,-0.2138131,529,-450,-645,16.23,253,1,2224033,
177.295609,28.007145,1152,314,1247,269,-0.2234397,562,-980,2674,15.47,139,1,2224955,
177.154099,27.244940,1221,17,717,410,-0.1920221,882,-22,-373,16.05,260,1,2227132,
177.488724,30.280064,1203,53,847,176,-0.2401955,668,-451,920,16.54,290,1,2229607,
176.165955,30.755045,1213,148,1260,408,-0.3317287,776,901,7899,16.16,246,1,2230438,
177.779404,30.436691,1232,-271,316,-198,-0.3411895,874,344,4023,15.72,242,1,2230712,
176.446533,1203,265,1298,187,-0.2691508,590,-409,-838,14.61,212,1,2240118,
176.420120,1123,343,920,210,-0.1888246,597,-360,-848,16.25,501,1,2241015,
176.808884,1122,277,1151,231,-0.2367391,570,-521,-529,15.40,531,1,2243683,
176.580627,1185,367,763,86,-0.2490875,705,-456,-785,15.75,540,1,2248787,
177.923584,-1.147013,1156,120,735,46,-0.3297913,561,-406,-249,16.33,462,1,2251043,
177.173218,-2.852527,1194,359,1100,185,-0.1527470,322,28,631,16.18,397,1,2252873,
176.731003,-1.236150,1105,220,914,484,-0.1835121,811,-353,-519,16.27,391,1,2264042,
177.310486,33.223064,1119,380,1279,325,-0.2319283,648,-527,-749,16.25,322,1,2276533,
177.147263,36.531551,1233,-77,722,246,-0.2499809,847,696,3338,16.78,310,1,2280940,
176.036682,35.615185,1136,301,1422,572,-0.2860544,929,-84,-880,16.74,310,1,2284940,
177.608521,36.008293,1133,320,1421,496,-0.2034021,732,-363,-956,16.23,340,1,2285108,
176.687927,37.156670,1203,219,1235,626,-0.0922657,495,414,294,16.46,227,1,2288347,
177.854919,38.417145,1223,-69,388,-94,-0.5099389,506,967,4098,16.35,285,2,2293423,
177.540039,39.464912,1193,-106,723,178,-0.2472036,754,-423,-889,15.85,256,1,2301515,
176.061401,43.378033,1177,155,961,360,-0.1229306,332,198,-732,14.92,241,1,2313352,
176.761810,45.951344,1212,337,1170,202,-0.2444498,657,-418,-999,16.03,247,1,2321260,
176.855728,1218,-132,606,375,-0.2584805,744,-641,-421,15.60,560,1,2333087,
177.787933,1133,85,921,328,-0.2554403,698,-662,-650,15.48,443,1,2334384,
177.110657,1201,345,1520,646,-0.2366476,664,-662,-663,16.18,562,1,2341370,
177.891815,52.972553,1156,265,1257,200,-0.2828123,691,-891,-547,14.70,231,1,2357763,
177.026215,58.952419,1243,411,1489,479,-0.2243408,641,-123,-603,16.71,159,1,2374717,
177.403824,65.680420,1100,-259,145,253,-0.2985106,887,-943,-120,15.76,225,1,2390130,
177.684219,1138,212,1187,355,-0.3108546,743,1796,13494,16.67,522,1,2397296,
176.481964,73.696007,1188,343,1209,278,-0.1624892,399,129,-1112,15.86,171,1,2407483,
176.143707,74.714638,1181,311,921,295,-0.2812153,786,-204,-1105,14.94,123,1,2408399,
176.158966,10.423361,1245,98,1263,334,-0.2521153,599,-575,-442,15.71,522,1,2414841,
176.909409,1150,176,1194,265,-0.2249922,456,-284,-761,16.28,391,1,2419376,
178.703064,1168,150,1097,427,-0.2003135,474,-392,-894,16.06,530,1,2436939,
178.893326,-0.600524,1244,280,912,113,-0.2248769,706,72,796,16.78,445,1,2445331,
178.790009,11.176205,1200,-90,649,146,-0.2296717,672,-289,-1101,15.17,310,1,2453514,
178.856171,12.924951,1207,86,850,398,-0.2261273,561,-571,-917,15.19,337,1,2455568,
179.266647,12.784838,1109,256,1310,262,-0.2714871,831,1266,10148,15.17,336,1,2458783,
178.384552,11.824099,1232,316,967,197,-0.1661157,342,-377,-764,15.28,309,1,2462460,
179.636139,14.919282,1171,344,1175,294,-0.2274642,602,-503,-806,16.82,336,1,2464031,
178.574020,15.988954,1158,291,1501,405,-0.2567294,789,-591,-785,16.42,288,1,2475488,
178.956223,19.343767,1104,-9,1104,301,-0.2645847,244,12665,174826,14.88,216,1,2495418,
179.523834,21.014725,1211,-29,771,200,-0.4814439,407,-67,966,16.24,257,2,2505387,
178.821472,22.001234,1240,320,726,14,-0.2076104,592,316,160,16.61,153,1,2510665,
178.149414,22.625664,1153,303,424,-430,-0.1934090,357,-283,92,16.43,163,1,2510767,
179.667587,22.385695,1161,226,1373,962,-0.2642909,802,-344,-906,16.74,278,1,2512872,
179.869370,25.063135,1204,-90,849,187,-0.4490052,488,691,3006,16.91,190,2,2526967,
178.638504,25.392666,1145,155,1043,220,-0.1989470,368,79,-951,15.86,271,1,2532058,
178.934433,25.895010,1111,129,1454,535,-0.4705979,512,64,-881,16.49,273,2,2532118,
178.194962,1187,315,1409,538,-0.1599341,259,9221,105486,16.30,502,1,2552794,
179.027618,1216,2,947,318,-0.5504090,411,-274,-1314,15.48,285,2,2554750,
179.970184,1225,116,1014,359,-0.2311578,442,-477,-693,15.22,512,1,2564971,
178.466919,-2.682833,1179,235,1206,273,-0.2434019,544,-859,239,15.32,366,1,2566499,
178.793900,-2.444434,1183,355,1243,521,-0.2690111,762,-513,-251,16.84,439,1,2568913,
178.900757,-2.902212,1111,337,1149,261,-0.2624010,685,-704,-319,15.54,433,1,2574370,
179.111557,32.902870,1213,-54,774,303,-0.4205216,476,234,-963,16.49,336,2,2584911,
178.436310,32.392738,1191,34,907,283,-0.1677313,605,1037,2384,16.21,310,1,2587263,
